x,y,cluster
70.39,69.67,C
20.5,20.27,A
32.37,33.37,B
30.37,28.22,B
36.22,28.01,B
30.53,26.96,B
19.76,25.61,A
19.21,22.47,A
27.88,30.25,B
31.08,29.41,B
69.16,78.48,C
31.33,27.7,B
33.02,30.31,B
72.14,75.23,C
22.97,19.81,A
19.33,25.29,A
76.53,77.36,C
71.67,75.65,C
22.44,20.2,A
33.14,26.83,B
16.04,22.58,A
21.25,22.92,A
21.05,22.95,A
71.26,73.33,C
20.48,23.19,A
69.73,74.47,C
71.72,79.47,C
73.45,78.5,C
70.7,71.92,C
76.23,73.37,C
68.18,76.46,C
71.54,76.65,C
31.86,29.2,B
74.45,72.36,C
21.13,21.88,A
18.53,22.2,A
77.39,75.75,C
72.57,75.69,C
20.98,19.71,A
29.46,27.55,B
73.49,69.41,C
33.05,27.96,B
17.51,23.49,A
19.32,19.57,A
74.74,77.27,C
17.49,23.68,A
18.53,21.24,A
33.36,25.75,B
71.31,78.1,C
73.68,70.42,C
32.09,30.57,B
18.81,25.01,A
69.98,76.62,C
19.68,21.47,A
19.09,22.16,A
17.65,22.02,A
31.12,34.0,B
20.98,22.97,A
28.66,27.98,B
75.96,71.41,C
33.15,31.18,B
32.39,29.58,B
31.81,29.54,B
69.23,80.03,C
35.31,29.8,B
30.72,26.97,B
70.13,73.12,C
22.51,22.73,A
21.47,18.4,A
18.64,22.74,A
33.74,32.35,B
32.46,28.46,B
68.49,76.52,C
31.39,27.83,B
18.15,20.86,A
70.95,79.78,C
33.02,29.73,B
72.67,78.14,C
30.66,31.77,B
32.77,30.34,B
20.31,26.94,A
72.97,72.96,C
33.82,30.34,B
18.27,23.79,A
71.2,73.12,C
73.64,75.03,C
31.2,29.06,B
18.27,22.06,A
23.41,20.22,A
70.14,72.03,C
21.35,19.35,A
31.76,28.26,B
73.01,80.57,C
21.84,20.17,A
71.17,78.65,C
72.17,76.5,C
78.06,78.25,C
19.71,21.88,A
33.49,30.39,B
75.52,73.77,C
19.9,20.19,A
33.71,30.81,B
27.18,30.89,B
19.24,21.89,A
74.17,73.41,C
72.91,75.84,C
73.06,74.53,C
78.53,76.76,C
18.54,23.02,A
71.15,70.54,C
21.9,20.77,A
18.73,20.52,A
32.14,25.63,B
68.59,72.59,C
22.5,21.18,A
31.36,28.15,B
34.33,29.54,B
19.38,20.01,A
29.67,31.46,B
33.83,28.84,B
71.79,74.12,C
72.77,76.86,C
31.26,30.56,B
71.77,79.08,C
29.15,28.91,B
72.76,77.4,C
21.54,22.85,A
74.41,73.95,C
67.49,77.23,C
33.89,30.61,B
75.3,74.56,C
31.16,29.04,B
19.56,18.21,A
71.54,75.13,C
16.93,25.75,A
18.38,20.88,A
30.25,31.13,B
20.81,23.06,A
30.27,28.57,B
17.84,21.0,A
30.79,32.64,B
19.99,24.7,A
72.78,75.3,C
34.15,32.13,B
72.72,72.96,C
73.27,75.29,C
69.47,74.12,C
71.81,73.31,C
34.71,30.56,B
69.72,80.36,C
67.2,74.04,C
21.53,21.12,A
20.72,19.94,A
32.82,29.0,B
32.33,27.2,B
71.07,73.64,C
18.19,19.95,A
72.41,74.25,C
20.14,17.85,A
20.2,17.91,A
17.97,21.86,A
32.51,28.08,B
33.92,28.62,B
30.68,32.08,B
22.11,20.36,A
20.94,24.41,A
21.06,21.4,A
32.62,27.91,B
33.4,31.19,B
71.57,78.47,C
17.48,23.1,A
74.06,75.6,C
72.4,72.55,C
20.77,22.34,A
76.16,77.97,C
32.45,28.35,B
20.53,24.84,A
33.07,31.77,B
70.82,76.46,C
33.13,29.24,B
32.95,29.61,B
31.19,29.15,B
21.01,20.89,A
71.37,74.08,C
71.92,77.75,C
31.53,30.41,B
73.04,70.59,C
33.71,28.71,B
32.69,28.14,B
67.81,73.04,C
67.96,80.32,C
31.39,27.07,B
30.24,29.44,B
69.89,74.0,C
19.44,23.27,A
19.51,23.94,A
74.59,79.81,C
21.99,20.71,A
31.47,32.02,B
19.68,21.9,A
18.19,23.74,A
18.25,20.5,A
19.85,25.5,A
31.89,29.8,B
29.36,29.4,B
73.02,69.92,C
72.22,78.62,C
75.08,72.78,C
34.66,27.76,B
18.41,21.5,A
23.54,19.23,A
31.35,29.31,B
32.49,28.08,B
36.48,31.29,B
17.78,20.1,A
72.13,74.99,C
31.67,30.92,B
18.14,19.92,A
17.44,22.21,A
20.37,21.16,A
77.22,76.6,C
71.33,70.66,C
70.21,77.7,C
70.33,71.41,C
32.66,29.78,B
70.17,73.63,C
34.14,30.42,B
70.88,75.44,C
69.34,70.84,C
22.34,20.36,A
32.49,26.78,B
29.49,28.74,B
19.55,20.46,A
32.43,27.88,B
76.86,79.91,C
71.0,73.05,C
73.18,71.09,C
18.54,22.52,A
18.64,20.61,A
20.7,24.57,A
71.39,75.02,C
31.4,32.35,B
19.58,21.6,A
